time,S,I,R
0.0,990.0,10.0,0.0
0.5,2.470530176355568e-7,952.6913722338431,47.30862751910418
1.0,3.2825156170551274e-7,906.2280656435082,93.7719340282407
1.5,-1.7836497094175214e-7,862.0308018392616,137.96919833910425
2.0,-2.659696124153069e-7,819.9890636317962,180.01093663417439
2.5,2.3889984720578033e-7,779.9977246032496,220.00227515785144
3.0,-3.2351753804476944e-7,741.9567872372246,258.043213086294
3.5,-2.3068224861046615e-7,705.7711276509772,294.22887257970586
4.0,3.040277104817814e-8,671.3502633347057,328.6497366348925
4.5,3.63345392125534e-8,638.6081246228556,361.3918753408108
5.0,-3.5473392930046637e-7,607.4628392559888,392.537161098746
5.5,-3.4896703339626886e-8,577.8365266883422,422.16347334655563
6.0,2.3002827478763152e-7,549.6551064738612,450.34489329611165
6.5,3.245861103866746e-8,522.8481107914729,477.15188917606963
7.0,-3.61058054393704e-7,497.34850792165435,502.65149243940493
7.5,-2.0362414903229153e-7,473.0925348266925,526.9074653769329
8.0,4.391539273646619e-7,450.0195390054686,549.980460555379
8.5,1.5837861770625107e-7,428.07182736179226,571.9281724798303
9.0,-2.0805697386703132e-7,407.19451834532634,592.8054818627317
9.5,-2.446360145578348e-7,387.33540739224503,612.6645928523918
10.0,1.220895408150431e-7,368.4448363073686,631.5551635705426
10.5,1.7393661172187983e-7,350.4755695430562,649.5244302830079
11.0,6.835111950418662e-8,333.3826744151929,666.6173255164565
11.5,-1.7215773734286628e-7,317.123409759895,682.8765904122631
12.0,3.6404538240352624e-7,301.65711803322614,698.3428816027288
12.5,-3.9283287123284284e-7,286.9451275232554,713.0548728695776
13.0,-3.7931580889284004e-7,272.95064852290136,727.0493518564147
13.5,1.9095699396277853e-7,259.6386877590739,740.3613120499693
14.0,-2.256804953762299e-7,246.97595994304888,753.0240402826319
14.5,4.244400394240886e-7,234.93079960212833,765.0691999734319
15.0,-2.0552323258357835e-8,223.473089727923,776.5269102926293
15.5,3.926660533567024e-7,212.57417812042524,787.4258214869087
16.0,3.8282709893177944e-7,202.2068131078471,797.7931865093256
16.5,-2.6109746498815863e-7,192.3450710890139,807.6549291720833
17.0,-2.874077526075751e-7,182.96429131669,817.0357089707176
17.5,4.387916638278005e-7,174.04101681982706,825.9589827413812
18.0,-4.994556911031618e-8,165.55293673728633,834.447063312659
18.5,1.9370310074506174e-7,157.4788244952901,842.5211753110067
19.0,-9.033054035018813e-8,149.7984918708846,850.2015082194458
19.5,4.084362516088557e-7,142.49273271790165,857.507266873662
20.0,3.19320072893454e-7,135.54328020810425,864.4567194725755
20.5,-3.452325741871588e-7,128.93275707792597,871.0672432673064
21.0,3.490646676652623e-7,122.64463163525392,877.3553680156812
21.5,4.048513099599484e-7,116.66318229543796,883.3368172997104
22.0,2.9427557191679594e-7,110.97345184635992,889.0265478593643
22.5,-3.4770915763188943e-7,105.56121336426098,894.4387869834479
23.0,3.245859144541826e-7,100.41293158060384,899.58706809481
23.5,2.996846920309733e-7,95.51573512889725,904.4842645714177
24.0,3.3249765086631527e-7,90.85737770976759,909.1426219577345
24.5,2.1748018115700053e-7,86.42621120963247,913.5737885728871
25.0,-3.2402269636795545e-7,82.21115568374863,917.788844640274
25.5,2.563598031910558e-7,78.20166974164202,921.798330001998
26.0,2.015090377624155e-7,74.38772934582238,925.6122704526683
26.5,-4.327644276608818e-9,70.75979717244043,929.2402028318869
27.0,1.0700116419562393e-7,67.30880103045368,932.6911988625449
27.5,3.580133198965176e-7,64.02611181042587,935.9738878315605
28.0,-1.8924770490091064e-7,60.903522023096855,939.0964781661505
28.5,9.527183223460733e-8,57.93322192724806,942.0667779774799
29.0,-2.459738966357323e-7,55.107785691968544,944.892214554005
29.5,2.409986099731449e-7,52.42014679132099,947.57985296768
30.0,2.792720568896447e-7,49.86358601410268,950.1364137066249
30.5,1.562052530094176e-7,47.43171033786343,952.5682895059309
31.0,1.9650282635171238e-7,45.11843847944235,954.8815613240545
31.5,3.1127640138490663e-7,42.91798614377011,957.082013544953
32.0,4.60308939521628e-8,40.82485151230548,959.1751484416633
32.5,-2.5446165345935516e-7,38.83380031012302,961.1661999443384
33.0,2.0976147430533782e-7,36.93985306437943,963.0601467258588
33.5,-1.6603476505465796e-7,35.13827554055422,964.8617246254803
34.0,2.000649069181011e-7,33.42456125884447,966.5754385410904
34.5,-2.2843693040167044e-7,31.794426593380415,968.2055736350563
35.0,7.753997878171275e-8,30.24379381297514,969.7562061094847
35.5,2.1288726018602044e-7,28.768786442558532,971.231213344554
36.0,-4.254879628031263e-8,27.365716418933964,972.6342836236146
36.5,-1.7212112427282723e-7,26.03107481339585,973.968925358725
37.0,-1.9265681892220964e-7,24.761524343260938,975.2384758493955
37.5,-1.8430449849143204e-7,23.553890551890614,976.4461096324135
38.0,-1.7809112655738168e-7,22.405153757092098,977.5948464209987
38.5,-1.576136672511202e-7,21.31244150185664,978.6875586557567
39.0,-8.007998341572055e-8,20.27302139327364,979.7269786868061
39.5,7.365635150937836e-8,19.284294321303708,980.7157056050396
40.0,1.6926155237472908e-7,18.343788089047965,981.6562117416902
40.5,-2.777154143300482e-8,17.44915117907097,982.5508488487003
41.0,-1.28641742487231e-7,16.598146134468436,983.401853994173
41.5,7.209088230749367e-8,15.788644799280828,984.211355128628
42.0,3.69889665421329e-8,15.018623540348925,984.9813764226619
42.5,-1.0223024684260283e-7,14.286156758951359,985.7138433432787
43.0,1.2295132037597563e-7,13.58941245485386,986.4105874221946
43.5,-8.369950663062112e-8,12.92664918731882,987.0733508963805
44.0,6.056875721556751e-8,12.296208926547376,987.7037910128837
44.5,-5.520159522402263e-8,11.696515853107341,988.3034842020941
45.0,5.142533434378698e-8,11.126069937867099,988.8739300107073
45.5,-6.033125251371126e-8,10.583445206193185,989.4165548541379
46.0,7.625977291908861e-8,10.067284371518783,989.9327155522212
46.5,-5.8826282941870975e-8,9.576297210767116,990.423702848059
47.0,4.358344524364962e-8,9.109255627964275,990.8907443284521
47.5,-2.134110496496693e-9,8.66499197666313,991.3350080254708
48.0,-3.625249960375667e-8,8.242395373954432,991.7576046622979
48.5,5.283089222431842e-8,7.840408966926964,992.159590980242
49.0,-9.83201382024958e-9,7.458027647339543,992.5419723624923
49.5,-2.7210371488899575e-8,7.094295390563089,992.9057046366471
50.0,3.262626772766474e-8,6.748302561441093,993.2516974059325
50.5,1.0428723234757032e-8,6.419183836656016,993.5808161529151
51.0,-2.1260951732300378e-8,6.106116414731785,993.8938836065289
51.5,-4.0320180940932e-9,5.808317796140731,994.1916822078911
52.0,2.5912607575771164e-8,5.525042863116266,994.4749571109709
52.5,5.916648370865383e-9,5.255582973358962,994.7444170207242
53.0,-1.0456801741898154e-8,4.999264813099563,995.000735197357
53.5,-7.33945419139993e-9,4.755448096560676,995.2445519107786
54.0,8.802313928037375e-9,4.523522538269359,995.4764774529282
54.5,1.2066793323858536e-8,4.302907733845585,995.6970922540875
55.0,2.8575357453555437e-9,4.093051167048921,995.9069488300934
55.5,-3.1848788092237486e-9,3.8934298086827375,996.106570194502
56.0,-3.820106504471618e-9,3.7035453776125142,996.2964546262074
56.5,2.054113251126741e-10,3.522922388866831,996.4770776109275
57.0,5.158448175115337e-9,3.351108153637381,996.648891841204
57.5,4.892585746533876e-9,3.187672469123559,996.8123275259836
58.0,2.5598059942193215e-9,3.032204200012259,996.9677957974277
58.5,9.04648117981291e-10,2.8843179160928787,997.1156820830023
59.0,-1.2982589635619985e-12,2.74364643464012,997.256353565361
59.5,-2.036196111002657e-10,2.609838327343486,997.3901616728599
60.0,1.3492148938284453e-10,2.4825579203072885,997.5174420795576
60.5,7.343863726002216e-10,2.3614852940506283,997.6385147052148
61.0,1.19766027095634e-9,2.2463162835074315,997.7536837152948
61.5,1.062352823963785e-9,2.1367620727511705,997.8632379261862
62.0,7.811534529252824e-10,2.032544653839616,997.967455345379
62.5,5.939412806020084e-10,1.933407537544393,998.0665924618614
63.0,4.701008963919147e-10,1.8391072543388016,998.1608927451908
