β,peak_I,final_R
0.1,955.625967117857,999.9543789676285
0.15,954.1568964325731,999.9544516223195
0.2,953.4236812173239,999.9544864197777
0.25,952.9841976491601,999.954509713774
0.3,952.6913722338431,999.9545235233431
0.35,952.4823042281093,999.9545352234009
0.4,952.3255540093855,999.9545430130853
0.45,952.2036643215422,999.9545482376027
0.5,952.1061667265205,999.9545540811765
0.55,952.0264101284754,999.9545584068065
0.6,951.9599529308231,999.9545617869207
0.65,951.9037269561279,999.9545635678068
0.7,951.8555405370909,999.9545665066365
0.75,951.813781235434,999.9545693681596
0.8,951.7772424502728,999.9545703252896
