t,S,E,I,R,D
0.0,980,10,10,0,0
0.006725558218122726,980,9,11,0,0
0.05119177102778996,979,9,11,0,1
0.05906537455423076,978,10,11,0,1
0.19698512738951407,977,10,11,0,2
0.1989115084489835,976,11,11,0,2
0.20107903287397982,975,11,11,0,3
0.22408447305060308,974,11,11,0,4
0.24409987776459727,973,11,11,0,5
0.26288530913958225,972,12,11,0,5
0.2981759159855008,973,12,11,0,5
0.3458900132522436,974,12,11,0,5
0.36072946654570864,973,12,11,0,6
0.36094782639229206,973,11,12,0,6
0.38139805740433735,972,11,12,0,7
0.3969545435102461,973,11,12,0,7
0.4187381648895242,973,11,11,1,7
0.42956398533862933,974,11,11,1,7
0.4495479569725779,974,10,12,1,7
0.45704075115651627,974,10,11,2,7
0.47573574164364124,973,10,11,2,8
0.5671314890205206,974,10,11,2,8
0.6447669759460765,974,9,12,2,8
0.6573867144627894,975,9,12,2,8
0.7009133546976586,975,9,11,3,8
0.7062931356358362,974,10,11,3,8
0.9136460307932821,974,10,10,4,8
0.92057780551253,973,10,10,4,9
0.9234407158066461,972,10,10,4,10
0.9650539052661816,971,11,10,4,10
1.0790881015937521,970,12,10,4,10
1.1098209128515013,970,11,11,4,10
1.1308330857972608,971,11,11,4,10
1.1424651641067822,970,12,11,4,10
1.152909716015135,971,12,11,4,10
1.1832387340349573,972,12,11,4,10
1.1984502856556076,971,13,11,4,10
1.2091296955120514,972,13,11,4,10
1.2128327759583175,972,12,12,4,10
1.228900258475913,973,12,12,4,10
1.2800719506854963,973,11,13,4,10
1.296111509139354,974,11,13,4,10
1.3082779501442605,974,11,12,5,10
1.4396902140349295,973,11,12,5,11
1.4533219652887959,972,12,12,5,11
1.5186488546902284,971,12,12,5,12
1.528342175445111,970,12,12,5,13
1.6253367363212514,970,12,11,6,13
1.6346663724270256,969,13,11,6,13
1.6512984342648294,968,13,11,6,14
1.6875786507545443,967,13,11,6,15
1.708356147480217,967,12,12,6,15
1.7162183305560266,967,12,11,7,15
1.7420698526210707,966,13,11,7,15
1.933162587585806,965,13,11,7,16
1.9398339874011576,965,12,12,7,16
1.9463439793690267,965,11,13,7,16
1.9610525626036701,964,11,13,7,17
1.9663738873688072,964,10,14,7,17
1.994312957926876,963,11,14,7,17
1.9995822727336794,962,12,14,7,17
2.0046044324168824,963,12,14,7,17
2.0072083307065958,964,12,14,7,17
2.095417758679304,963,13,14,7,17
2.129874753878375,962,13,14,7,18
2.1378005548605947,962,13,13,8,18
2.1777127220678407,961,13,13,8,19
2.1991238628117795,960,13,13,8,20
2.2100567822912467,959,13,13,8,21
2.216617878616037,958,14,13,8,21
2.2305738508789066,959,14,13,8,21
2.2491389417116983,960,14,13,8,21
2.2667241216276475,960,13,14,8,21
2.317542680360524,959,13,14,8,22
2.33273544420162,959,13,13,9,22
2.338189629108632,959,12,14,9,22
2.367523016749077,958,12,14,9,23
2.388152428386798,959,12,14,9,23
2.4792670235389966,960,12,14,9,23
2.504644705980722,961,12,14,9,23
2.5503517683148673,960,12,14,9,24
2.5623808454827794,959,13,14,9,24
2.5663370339658256,958,13,14,9,25
2.5665500293605206,958,13,13,10,25
2.572495257798338,959,13,13,10,25
2.5828492218301116,958,13,13,10,26
2.5885476842284474,957,14,13,10,26
2.686160289236048,957,14,12,11,26
