t,S,E,I,R,D
0.0,980,10,10,0,0
0.006725558218122726,980,9,11,0,0
0.11306770502825005,979,10,11,0,0
0.16798571165208467,978,11,11,0,0
0.2508681691736905,977,12,11,0,0
0.31576016130345436,976,13,11,0,0
0.36094782639229206,976,12,12,0,0
0.4187381648895242,976,12,11,1,0
0.4495479569725779,976,11,12,1,0
0.45704075115651627,976,11,11,2,0
0.6227552916298587,975,12,11,2,0
0.623572073591463,974,13,11,2,0
0.6419894805964472,973,14,11,2,0
0.6596425455185394,972,15,11,2,0
0.6976418281099486,972,14,12,2,0
0.7298292892518298,971,15,12,2,0
0.8153412121973793,970,16,12,2,0
0.9051411975109773,970,15,13,2,0
0.9136460307932821,970,15,12,3,0
0.9574027374506863,970,14,13,3,0
1.010698754115902,969,15,13,3,0
1.0640785760900981,968,16,13,3,0
1.1098209128515013,968,15,14,3,0
1.1908717517596652,967,16,14,3,0
1.2584833474321102,966,17,14,3,0
1.2800719506854963,966,16,15,3,0
1.2972700055975146,965,17,15,3,0
1.3082779501442605,965,17,14,4,0
1.3381244916253277,965,16,15,4,0
1.3982095241500272,964,17,15,4,0
1.4152701905918097,964,16,16,4,0
1.4365956383282525,964,16,15,5,0
1.5603545963826877,964,15,16,5,0
1.7077878387740337,963,16,16,5,0
1.7162183305560266,963,16,15,6,0
1.7567627351330999,963,15,16,6,0
1.8511826613341635,962,16,16,6,0
1.9463439793690267,962,15,17,6,0
1.985478836250878,962,14,18,6,0
2.0345679689839864,961,15,18,6,0
2.0397258573961112,961,14,19,6,0
2.094283858784601,961,13,20,6,0
2.106787254631358,960,14,20,6,0
2.201515823864909,960,14,19,7,0
2.258090138482398,959,15,19,7,0
2.3439357624184276,958,16,19,7,0
2.3972664402657733,957,17,19,7,0
2.423065270489748,956,18,19,7,0
2.509799678894252,956,18,18,8,0
2.5327474385728044,955,19,18,8,0
2.5665500293605206,955,19,17,9,0
2.5762996665347133,954,20,17,9,0
2.635379425422072,953,21,17,9,0
2.639396576162948,953,21,16,10,0
2.6394239850393637,952,22,16,10,0
2.6492972354239797,951,23,16,10,0
2.6601334396997536,951,22,17,10,0
2.676414766133979,951,21,18,10,0
2.686160289236048,951,21,17,11,0
2.7871360524895836,951,21,16,12,0
2.847168943414566,951,20,17,12,0
2.86185764636131,951,19,18,12,0
2.975331561130938,950,20,18,12,0
2.991376729125376,949,21,18,12,0
3.0609285422438264,949,20,19,12,0
3.076983434688252,949,20,18,13,0
3.1083861965763884,948,21,18,13,0
3.124500776840183,948,21,17,14,0
3.1395919021081946,948,20,18,14,0
3.259239571741394,948,20,17,15,0
3.281488227179972,948,19,18,15,0
3.3399189107515124,948,18,19,15,0
3.3907643532681826,948,17,20,15,0
3.3967732160311606,948,17,19,16,0
3.4244173074729383,947,18,19,16,0
3.424601475190781,946,19,19,16,0
3.5237079905033495,946,18,20,16,0
3.532956093762701,945,19,20,16,0
3.538783184457822,945,19,19,17,0
3.548262935451883,944,20,19,17,0
3.561434857251759,944,20,18,18,0
3.6176630790053705,944,20,17,19,0
3.668160145218848,944,19,18,19,0
3.7026883052250104,944,18,19,19,0
3.7185173517812005,943,19,19,19,0
3.778844305941245,943,19,18,20,0
3.7949206061739447,943,18,19,20,0
3.828287626333265,942,19,19,20,0
3.8699980078561467,942,18,20,20,0
